Blend ID(BDID),Characteristics of material,Material type,Mixing / Blending method,Molecular weight,Morphology,Name,Non-solvent,Polymer type,Polymerization information,Processing information,Remarks,Sample ID,Sequence info,Solvent,Branch/crosslink info,Glass transition temp.,comp_01_CU Chemical Strucutre,comp_01_CU formula,comp_01_Composition[%],comp_01_Composition[TLC-FID Area],comp_01_Composition[],comp_01_Composition[mol ratio of monomer repeating units],comp_01_Composition[mol ratio],comp_01_Composition[mol%],comp_01_Composition[part],comp_01_Composition[phr],comp_01_Composition[ratio],comp_01_Composition[unknown],comp_01_Composition[vol ratio],comp_01_Composition[vol%],comp_01_Composition[wt ratio],comp_01_Composition[wt%],comp_01_Formula weight(FW),comp_01_PID of Component,comp_01_Sample ID,comp_02_CU Chemical Strucutre,comp_02_CU formula,comp_02_Composition[%],comp_02_Composition[TLC-FID Area],comp_02_Composition[],comp_02_Composition[mol ratio of monomer repeating units],comp_02_Composition[mol ratio],comp_02_Composition[mol%],comp_02_Composition[part],comp_02_Composition[phr],comp_02_Composition[ratio],comp_02_Composition[unknown],comp_02_Composition[vol ratio],comp_02_Composition[vol%],comp_02_Composition[wt ratio],comp_02_Composition[wt%],comp_02_Formula weight(FW),comp_02_PID of Component,comp_02_Sample ID,comp_03_CU Chemical Strucutre,comp_03_CU formula,comp_03_Composition[%],comp_03_Composition[TLC-FID Area],comp_03_Composition[],comp_03_Composition[mol ratio of monomer repeating units],comp_03_Composition[mol ratio],comp_03_Composition[mol%],comp_03_Composition[part],comp_03_Composition[phr],comp_03_Composition[ratio],comp_03_Composition[unknown],comp_03_Composition[vol ratio],comp_03_Composition[vol%],comp_03_Composition[wt ratio],comp_03_Composition[wt%],comp_03_Formula weight(FW),comp_03_PID of Component,comp_03_Sample ID,comp_04_CU Chemical Strucutre,comp_04_CU formula,comp_04_Composition[%],comp_04_Composition[TLC-FID Area],comp_04_Composition[],comp_04_Composition[mol ratio of monomer repeating units],comp_04_Composition[mol ratio],comp_04_Composition[mol%],comp_04_Composition[part],comp_04_Composition[phr],comp_04_Composition[ratio],comp_04_Composition[unknown],comp_04_Composition[vol ratio],comp_04_Composition[vol%],comp_04_Composition[wt ratio],comp_04_Composition[wt%],comp_04_Formula weight(FW),comp_04_PID of Component,comp_04_Sample ID,Reference
BD000001,"Thermoplastic,Crystal",Neat resin,UHMWPE and LDPE blended,,Some small granules (infused UHMWPE) dispersed in the fracture flake layer (SEM),polyethene//polyethene,,Blend,,"Compression: 200C, 10.5MPa, 5h
Shape of Test Piece: Sheet
Remarks: t=ca.4mm, (tensile test) dumbbell shaped, (DMA) rectangular shaped, 60*10*4mm",Carbon nanofiber (CNF) unloaded,,,,,"['Glass transition temp. ca -120 [C]', 'Method: DMA', 'Condition: Heating rate;5C/min&three-point bending mode', 'Remarks: Temp. at tan(delta)peak, taken from the Fig.7']",,CH2,30,,,,,,,,,,,,,,14.03,P010001,39142-1-1-1,,CH2,70,,,,,,,,,,,,,,14.03,P010001,39142-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ren, X.; Wang, X. Q.; Sui, G.; Zhong, W. H.; Fuqua, M. A.; Ulven, C. A. , Journal of Applied Polymer Science , 107 , 5 , 2837-2845 (2008)"
BD000005,"Thermoplastic,Crystal",Neat resin,Melt blended in twin-screw extruder,,,polyethene//poly(prop-1-ene)//poly[ethene-co-(prop-1-ene)],,Blend,,"Injection: Melt temp. 220C, mold temp. 50C, 70kg/cm2, 2s
Shape of Test Piece: Sheet
Remarks: (DMA) t=2mm",,,,,,"['Glass transition temp. ca 9.8 [C]', 'Method: DMA', 'Condition: Heating rate;5C/min & vibration amplitude 0.2mm', 'Remarks: Tg of PP phase, taken from the fig.7']",,C3H6,,,,,,,,,,,,,,95,42.08,P010002,,,C2H4 / C3H6,,,,,,,,,,,,,,5,28.05 / 42.08,P900015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jang, Gu-Su; Jo, Nam-Ju; Cho, Won-Jei; Ha, Chang-Sik , Journal of Applied Polymer Science , 83 , 1 , 201-211 (2002)"
BD000005,"Thermoplastic,Crystal",Neat resin,Melt blended in twin-screw extruder,,,polyethene//poly(prop-1-ene)//poly[ethene-co-(prop-1-ene)],,Blend,,"Injection: Melt temp. 220C, mold temp. 50C, 70kg/cm2, 2s
Shape of Test Piece: Sheet
Remarks: (DMA) t=2mm",,,,,,"['Glass transition temp. ca -80 [C]', 'Method: DMA', 'Condition: Heating rate;5C/min & vibration amplitude 0.2mm', 'Remarks: Tg of PE phase']",,C3H6,,,,,,,,,,,,,,90,42.08,P010002,,,C2H4 / C3H6,,,,,,,,,,,,,,10,28.05 / 42.08,P900015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jang, Gu-Su; Jo, Nam-Ju; Cho, Won-Jei; Ha, Chang-Sik , Journal of Applied Polymer Science , 83 , 1 , 201-211 (2002)"
BD000005,"Thermoplastic,Crystal",Neat resin,Melt blended in twin-screw extruder,,,polyethene//poly(prop-1-ene)//poly[ethene-co-(prop-1-ene)],,Blend,,"Injection: Melt temp. 220C, mold temp. 50C, 70kg/cm2, 2s
Shape of Test Piece: Sheet
Remarks: (DMA) t=2mm",,,,,,"['Glass transition temp. ca -80 [C]', 'Method: DMA', 'Condition: Heating rate;5C/min & vibration amplitude 0.2mm', 'Remarks: Tg of PE phase']",,C3H6,,,,,,,,,,,,,,85,42.08,P010002,,,C2H4 / C3H6,,,,,,,,,,,,,,15,28.05 / 42.08,P900015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jang, Gu-Su; Jo, Nam-Ju; Cho, Won-Jei; Ha, Chang-Sik , Journal of Applied Polymer Science , 83 , 1 , 201-211 (2002)"
BD000005,"Thermoplastic,Crystal",Neat resin,Melt blended in twin-screw extruder,,,polyethene//poly(prop-1-ene)//poly[ethene-co-(prop-1-ene)],,Blend,,"Injection: Melt temp. 220C, mold temp. 50C, 70kg/cm2, 2s
Shape of Test Piece: Sheet
Remarks: (DMA) t=2mm",,,,,,"['Glass transition temp. ca -80 [C]', 'Method: DMA', 'Condition: Heating rate;5C/min & vibration amplitude 0.2mm', 'Remarks: Tg of PE phase']",,C3H6,,,,,,,,,,,,,,80,42.08,P010002,,,C2H4 / C3H6,,,,,,,,,,,,,,20,28.05 / 42.08,P900015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jang, Gu-Su; Jo, Nam-Ju; Cho, Won-Jei; Ha, Chang-Sik , Journal of Applied Polymer Science , 83 , 1 , 201-211 (2002)"
BD000009,Thermoplastic,Neat resin,Injection molding blending,,Cylindrical PS particles dispersed in continuous matrix of HDPE (SEM),polyethene//polystyrene,,Blend,,"Electron beam irradiation: 0kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 108.9 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&In N2']",,CH2,,,,,,,,,,,,,,50,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,50,104.15,P020001,38380-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000009,Thermoplastic,Neat resin,Injection molding blending,,"Cylindrical PS particles dispersed in continuous matrix of HDPE, and fractured surface seems more homogeneous (SEM)",polyethene//polystyrene,,Blend,,"Electron beam irradiation: 2MeV electron, 150kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 109 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&N2']",,CH2,,,,,,,,,,,,,,50,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,50,104.15,P020001,38380-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000009,,Neat resin,"Mixed at 170C,16rpm for 20min in Banbury mixer connected to Brabender Plasticorder",,,polyethene//polystyrene,,Blend,,,,,,,,"['Glass transition temp. ca 100 [C]', 'Method: DSC', 'Condition: Heating rate;5C/min&N2', 'Remarks: Tg of PS phase']",,C8H8,,,,,,,,,,,,,,80,104.15,P020001,22788-1-1-1,,CH2,,,,,,,,,,,,,,20,14.03,P010001,22788-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okamoto, Shoji; Ishida, Hatsuo , Macromolecules , 34 , 21 , 7392-7402 (2001)"
BD000009,Thermoplastic,Neat resin,Blended at 220C and 100rpm in single screw Brabender lab extruder,,,polyethene//polystyrene,,Blend,,,,,,,,"['Glass transition temp. ca 106.6 [C]', 'Method: Modulated DSC', 'Condition: Heating rate;3C/min & second heating', 'Remarks: Tg of PS, taken from the Fig.3']",,C8H8,,,,,,,,,,,,,,30,104.15,P020001,38456-1-1-1,,CH2,,,,,,,,,,,,,,70,14.03,P010001,38456-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thirtha, Vivek M.; Lehman, Richard L.; Nosker, Thomas J. , Materials Research Society Symposium Proceedings , 856E , 1-6 (2004)"
BD000009,Thermoplastic,Neat resin,Blended at 220C and 100rpm in single screw Brabender lab extruder,,,polyethene//polystyrene,,Blend,,,,,,,,"['Glass transition temp. ca 106.1 [C]', 'Method: Modulated DSC', 'Condition: Heating rate;3C/min & second heating', 'Remarks: Tg of PS, taken from the Fig.3']",,C8H8,,,,,,50,,,,,,,,,104.15,P020001,38456-1-1-1,,CH2,,,,,,50,,,,,,,,,14.03,P010001,38456-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thirtha, Vivek M.; Lehman, Richard L.; Nosker, Thomas J. , Materials Research Society Symposium Proceedings , 856E , 1-6 (2004)"
